,,,,,,Notifiable Offence List  2018-2019,,,,,,,
,,,,,,,,,,,,,
"This list can be filtered to show indictable, triable-either-way and summary offences.",,,,,,,,,,,,,
Click on the drop down arrow above the column marked ‘mode’ and select either “I” (indictable) “E” (triable-either-way) or “S” (summary).,,,,,,,,,,,,,
,,,,,,,,,,,,,
Home Office code,Mode,Max Sentence,Victim or State Based,Class,Sub class,Offence category,Offence,Act,Year added/amended/deleted,Commencement date,Cessation date,Note,
8/6,E,5,V,Violence Against The Person,Violence with injury ,8N Assault with injury / 8S Assault with injury on a constable,Assault occasioning  actual bodily harm,Offences against the Person Act 1861 Sec 47,01/04/2017,,,Offence included in new 8S Category,
8/11,E,4,S,Possession of weapons,,10C Possession of Other Weapons,Possession of offensive weapon without lawful authority or reasonable excuse,Offensive Weapons Act 1996 Sec 2(1),,,,,
8/13,I,life,S,Possession of weapons,,10A Possession of Firearms with intent,Possessing firearm or imitation firearm while committing or being arrested for offence specified below,Firearms Act 1968 Sec 17(2),,,,,
8/14,I,life,S,Possession of weapons,,10A Possession of Firearms with intent,Possessing firearm or imitation firearm while committing or being arrested for offence specified below ,Firearms Act 1968 Sec 17(2),,,,,
8/15,I,life,S,Possession of weapons,,10A Possession of Firearms with intent,Possessing firearm or imitation firearm while committing or being arrested for offence specified below,Firearms Act 1968 Sec 17(2),,,,,
8/16,I,life,S,Possession of weapons,,10A Possession of Firearms with intent,Possessing firearm or imitation firearm with intent to commit indictable offence or resist arrest ,Firearms Act 1968 Sec 18(1),,,,,
8/17,I,life,S,Possession of weapons,,10A Possession of Firearms with intent,Possessing firearm or imitation firearm with intent to commit indictable offence or resist arrest ,Firearms Act 1968 Sec 18(1),,,,,
8/18,I,life,S,Possession of weapons,,10A Possession of Firearms with intent,Possessing firearm or imitation firearm with intent to commit indictable offence or resist arrest ,Firearms Act 1968 Sec 18(1),,,,,
8/20,E,2,V,Violence Against The Person,Violence with injury ,8N Assault with injury,Assault with intent to resist apprehension,Offences against the Person Act 1861 Sec 38,,,,,
8/21,E,2,V,Violence Against The Person,Violence with injury ,8N Assault with injury,Owner or person in charge allowing dog  to be dangerously out of control in any place in England and Wales (whether or not in a public place) injuring any person or assistance dog,Dangerous Dogs Act 1991 Sec 3(1) as amended by Anti-Social Behaviour Crime and Policing Act Sec 106,2014,,,,
8/23,I,10,S,Possession of weapons,,10A Possession of Firearms with intent,Possessing firearm or imitation firearm with intent to cause fear of violence ,Firearms Act 1968 Sec 16A,,,,,
